Voltage(V),Field(G)
-9.0,12481.6
-8.5,12258.6
-8.0,12016.4
-7.5,11746.6
-7.0,11427.8
-6.5,11040.2
-6.0,10589.8
-5.5,10078.6
-5.0,9494.5
-4.5,8811.1
-4.0,7987.9
-3.5,7035.4
-3.0,6055.4
-2.5,5068.0
-2.0,4071.5
-1.5,3066.7
-1.0,2056.0
-0.5,1045.26
0.0,32.146
0.5,-981.22
1.0,-1993.11
1.5,-3002.9
2.0,-4008.0
2.5,-5005.0
3.0,-5992.4
3.5,-6967.6
4.0,-7906.7
4.5,-8747.5
5.0,-9448.8
5.5,-10046.3
6.0,-10566.0
6.5,-11022.2
7.0,-11414.8
7.5,-11737.8
8.0,-12009.6
8.5,-12254.0
9.0,-12480.5
9.5,-12692.4
