Voltage(V),Field(G)
-9.0,8621.0
-8.5,8313.9
-8.0,7977.5
-7.5,7614.7
-7.0,7224.2
-6.5,6802.1
-6.0,6340.8
-5.5,5839.4
-5.0,5321.2
-4.5,4798.7
-4.0,4272.6
-3.5,3744.7
-3.0,3215.3
-2.5,2683.5
-2.0,2150.9
-1.5,1618.92
-1.0,1085.01
-0.5,551.17
0.0,17.1585
0.5,-517.4
1.0,-1051.52
1.5,-1585.04
2.0,-2117.92
2.5,-2650.44
3.0,-3182.0
3.5,-3712.2
4.0,-4239.8
4.5,-4766.2
5.0,-5288.3
5.5,-5804.0
6.0,-6303.3
6.5,-6772.0
7.0,-7201.1
7.5,-7597.0
8.0,-7964.7
8.5,-8304.9
9.0,-8618.3
9.5,-8897.7
