Voltage(V),Field(G)
-9.0,10579.2
-8.5,10332.0
-8.0,10043.2
-7.5,9701.4
-7.0,9314.5
-6.5,8884.7
-6.0,8406.8
-5.5,7874.9
-5.0,7272.8
-4.5,6590.6
-4.0,5877.5
-3.5,5156.3
-3.0,4431.2
-2.5,3701.7
-2.0,2968.8
-1.5,2233.9
-1.0,1498.0
-0.5,760.89
0.0,23.483
0.5,-714.3
1.0,-1451.56
1.5,-2187.52
2.0,-2922.54
2.5,-3655.2
3.0,-4384.5
3.5,-5110.7
4.0,-5830.5
4.5,-6538.3
5.0,-7217.1
5.5,-7832.9
6.0,-8374.2
6.5,-8859.4
7.0,-9295.9
7.5,-9688.3
8.0,-10035.5
8.5,-10329.0
9.0,-10579.5
9.5,-10805.9
