,Voltaje(V),Campo(Oe),Resistencia(Ohm)
0,0.2800000000000001,599.3628671056426,25.897879140000004
1,0.3700000000000001,781.7173843080892,25.89859285
2,0.4600000000000002,964.0431133980333,25.89970121
3,0.5500000000000003,1146.3330321729798,25.9011878
4,0.6500000000000004,1348.8265565920367,25.90296794
5,0.7400000000000004,1531.016721402808,25.904639815000003
6,0.8300000000000005,1713.1475486783327,25.905057335
7,0.9200000000000006,1895.2107740334625,25.905136965
8,1.010000000000001,2077.1977127536616,25.90518589500001
9,1.1000000000000008,2259.099213551888,25.905101965
10,1.2000000000000008,2461.100014400527,25.90407228
11,1.290000000000001,2642.7887282832853,25.903107835
12,1.380000000000001,2824.3600459811487,25.9027876
13,1.470000000000001,3005.802412237508,25.90316668
14,1.5600000000000012,3187.1035688695506,25.902850049999994
15,1.6600000000000013,3388.3678350826785,25.902095225
16,1.750000000000001,3569.3271980007594,25.902177435
17,1.8400000000000012,3750.102215637127,25.901662635
18,1.9300000000000013,3930.677254163071,25.901318175
19,2.020000000000001,4111.035740469975,25.901462270000003
20,2.109999999999999,4291.160115926196,25.90146094
21,2.209999999999997,4491.001089187776,25.90194644
22,2.299999999999995,4670.568867956353,25.901436615
23,2.389999999999993,4849.841102707531,25.90043364
24,2.479999999999991,5028.7956973768605,25.90072165
25,2.569999999999989,5207.409334023168,25.90035677500001
26,2.669999999999987,5405.439093643566,25.900199785
27,2.759999999999985,5583.250590415711,25.899695490000006
28,2.849999999999983,5760.64026664972,25.89976759
29,2.9399999999999813,5937.579295295278,25.89933787
30,3.02999999999998,6114.037391071651,25.899797055
31,3.119999999999977,6289.982764224554,25.89915428
32,3.2199999999999758,6484.835676976974,25.89842958000001
33,3.3099999999999734,6659.58720333306,25.897300995
34,3.3999999999999715,6833.716980574593,25.897720530000004
35,3.4899999999999696,7007.186548051241,25.897524935
36,3.579999999999968,7179.9557042854285,25.897790319999995
37,3.6799999999999655,7371.048832049767,25.897104935000005
38,3.769999999999964,7542.199222628546,25.89720612
39,3.8599999999999617,7712.512494171457,25.896566770000003
