Voltage(V),Field(G)
-9.0,9140.0
-8.5,8842.9
-8.0,8509.4
-7.5,8145.3
-7.0,7749.9
-6.5,7321.6
-6.0,6853.4
-5.5,6334.7
-5.0,5779.0
-4.5,5213.1
-4.0,4643.3
-3.5,4069.9
-3.0,3494.8
-2.5,2917.8
-2.0,2339.0
-1.5,1760.32
-1.0,1179.88
-0.5,599.32
0.0,18.5455
0.5,-562.67
1.0,-1143.49
1.5,-1723.48
2.0,-2303.01
2.5,-2881.85
3.0,-3459.3
3.5,-4034.6
4.0,-4608.0
4.5,-5177.7
5.0,-5741.9
5.5,-6293.1
6.0,-6815.8
6.5,-7293.1
7.0,-7728.2
7.5,-8128.3
8.0,-8497.2
8.5,-8835.4
9.0,-9138.2
9.5,-9398.8
