Voltage(V),Field(G)
-9.0,9589.1
-8.5,9307.3
-8.0,8982.5
-7.5,8620.5
-7.0,8223.8
-6.5,7791.6
-6.0,7318.3
-5.5,6792.2
-5.0,6210.6
-4.5,5605.0
-4.0,4994.0
-3.5,4378.3
-3.0,3760.1
-2.5,3139.9
-2.0,2517.4
-1.5,1894.38
-1.0,1269.73
-0.5,644.89
0.0,19.8861
0.5,-605.59
1.0,-1230.65
1.5,-1854.83
2.0,-2478.37
2.5,-3100.9
3.0,-3721.4
3.5,-4339.7
4.0,-4955.6
4.5,-5566.0
5.0,-6167.3
5.5,-6747.2
6.0,-7282.7
6.5,-7764.0
7.0,-8202.2
7.5,-8603.5
8.0,-8970.3
8.5,-9301.2
9.0,-9587.7
9.5,-9832.1
