Voltage(V),Field(G)
-9.0,11814.1
-8.5,11584.6
-8.0,11332.6
-7.5,11043.1
-7.0,10692.1
-6.5,10282.5
-6.0,9819.7
-5.5,9296.4
-5.0,8698.8
-4.5,8003.9
-4.0,7185.2
-3.5,6312.7
-3.0,5430.4
-2.5,4541.4
-2.0,3645.7
-1.5,2744.3
-1.0,1840.52
-0.5,935.07
0.0,28.815
0.5,-877.88
1.0,-1783.58
1.5,-2687.37
2.0,-3588.4
2.5,-4484.3
3.0,-5373.8
3.5,-6255.0
4.0,-7118.8
4.5,-7935.9
5.0,-8649.2
5.5,-9259.6
6.0,-9792.2
6.5,-10263.0
7.0,-10678.0
7.5,-11033.4
8.0,-11326.3
8.5,-11580.6
9.0,-11812.7
9.5,-12028.9
