Voltage(V),Field(G)
-9.0,13225.5
-8.5,13010.0
-8.0,12776.0
-7.5,12519.9
-7.0,12230.1
-6.5,11878.3
-6.0,11450.1
-5.5,10954.4
-5.0,10387.1
-4.5,9727.7
-4.0,8929.3
-3.5,7934.1
-3.0,6837.8
-2.5,5726.1
-2.0,4604.8
-1.5,3470.4
-1.0,2327.9
-0.5,1183.51
0.0,36.404
0.5,-1110.99
1.0,-2256.31
1.5,-3398.1
2.0,-4532.2
2.5,-5654.8
3.0,-6764.0
3.5,-7847.6
4.0,-8845.7
4.5,-9670.3
5.0,-10348.0
5.5,-10926.2
6.0,-11428.3
6.5,-11862.3
7.0,-12219.0
7.5,-12512.3
8.0,-12771.1
8.5,-13007.7
9.0,-13226.3
9.5,-13431.2
