Voltage(V),Field(G)
-9.3,8295.9
-9.100000000000001,8181.5
-8.900000000000002,8062.3
-8.700000000000003,7939.2
-8.500000000000004,7812.2
-8.300000000000004,7680.8
-8.100000000000005,7546.5
-7.900000000000005,7407.7
-7.700000000000005,7265.0
-7.500000000000004,7118.7
-7.300000000000004,6968.0
-7.100000000000004,6813.5
-6.900000000000004,6654.9
-6.700000000000004,6489.8
-6.5000000000000036,6319.8
-6.300000000000003,6143.2
-6.100000000000003,5961.0
-5.900000000000003,5774.9
-5.700000000000003,5585.3
-5.500000000000003,5394.7
-5.3000000000000025,5202.5
-5.100000000000002,5010.0
-4.900000000000002,4817.3
-4.700000000000002,4624.0
-4.500000000000002,4430.0
-4.300000000000002,4235.8
-4.100000000000001,4041.4
-3.9000000000000012,3846.8
-3.700000000000001,3651.7
-3.500000000000001,3456.4
-3.3000000000000007,3261.3
-3.1000000000000005,3065.3
-2.9000000000000004,2869.0
-2.7,2672.6
-2.5,2476.5
-2.3,2279.9
-2.0999999999999996,2082.9
-1.8999999999999997,1887.25
-1.6999999999999997,1690.49
-1.4999999999999998,1494.0
-1.2999999999999998,1297.0
-1.0999999999999999,1100.07
-0.8999999999999999,903.0
-0.7,705.8
-0.49999999999999994,508.83
-0.29999999999999993,311.69
-0.09999999999999992,114.648
0.10000000000000009,-82.568
0.3000000000000001,-279.539
0.5000000000000001,-476.82
0.7000000000000002,-673.8
0.9000000000000001,-870.97
1.1,-1068.01
1.3,-1264.89
1.5,-1461.86
1.7,-1658.65
1.9,-1855.39
2.1,-2051.68
2.3000000000000003,-2248.44
2.5000000000000004,-2445.02
2.7000000000000006,-2641.38
2.900000000000001,-2837.67
3.100000000000001,-3033.9
3.300000000000001,-3229.8
3.5000000000000013,-3425.6
3.7000000000000015,-3620.9
3.9000000000000017,-3816.0
4.100000000000001,-4010.7
4.300000000000002,-4205.3
4.500000000000002,-4399.5
4.700000000000002,-4593.7
4.900000000000002,-4787.1
5.100000000000002,-4979.9
5.3000000000000025,-5172.4
5.500000000000003,-5363.8
5.700000000000003,-5553.2
5.900000000000003,-5741.7
6.100000000000003,-5927.4
6.300000000000003,-6109.4
6.5000000000000036,-6288.3
6.700000000000004,-6461.1
6.900000000000004,-6629.1
7.100000000000004,-6790.7
7.300000000000004,-6947.7
7.500000000000004,-7100.3
7.700000000000005,-7248.6
7.900000000000005,-7393.0
8.100000000000005,-7533.9
8.300000000000004,-7670.1
8.500000000000004,-7803.1
8.700000000000003,-7932.1
8.900000000000002,-8057.3
9.100000000000001,-8179.1
9.3,-8295.9
9.5,-8408.9
