Voltage(V),Field(G)
-9.3,7991.7
-9.100000000000001,7876.5
-8.900000000000002,7757.0
-8.700000000000003,7634.160000000001
-8.500000000000004,7507.7
-8.300000000000004,7377.7
-8.100000000000005,7243.6
-7.900000000000005,7106.2
-7.700000000000005,6965.1
-7.500000000000004,6820.8
-7.300000000000004,6672.5
-7.100000000000004,6519.3
-6.900000000000004,6362.5
-6.700000000000004,6199.7
-6.5000000000000036,6031.2
-6.300000000000003,5858.7
-6.100000000000003,5680.6
-5.900000000000003,5500.7
-5.700000000000003,5318.9
-5.500000000000003,5135.96
-5.3000000000000025,4952.8
-5.100000000000002,4769.6
-4.900000000000002,4585.6
-4.700000000000002,4401.3
-4.500000000000002,4216.5
-4.300000000000002,4032.0
-4.100000000000001,3846.5
-3.9000000000000012,3661.1
-3.700000000000001,3475.1
-3.500000000000001,3289.6
-3.3000000000000007,3103.4
-3.1000000000000005,2916.84
-2.9000000000000004,2729.9
-2.7,2543.1
-2.5,2356.4199999999996
-2.3,2169.3
-2.0999999999999996,1982.8239999999998
-1.8999999999999997,1795.8020000000001
-1.6999999999999997,1608.4779999999998
-1.4999999999999998,1421.43
-1.2999999999999998,1234.038
-1.0999999999999999,1046.524
-0.8999999999999999,858.982
-0.7,671.404
-0.49999999999999994,483.928
-0.29999999999999993,296.27
-0.09999999999999992,108.74459999999999
0.10000000000000009,-78.91980000000001
0.3000000000000001,-266.385
0.5000000000000001,-454.2
0.7000000000000002,-641.744
0.9000000000000001,-829.332
1.1,-1016.878
1.3,-1204.336
1.5,-1391.762
1.7,-1579.118
1.9,-1766.4420000000002
2.1,-1953.2600000000002
2.3000000000000003,-2140.5260000000003
2.5000000000000004,-2327.666
2.7000000000000006,-2514.6040000000003
2.900000000000001,-2701.522
3.100000000000001,-2888.4139999999998
3.300000000000001,-3075.2
3.5000000000000013,-3261.5
3.7000000000000015,-3447.4
3.9000000000000017,-3633.16
4.100000000000001,-3818.9
4.300000000000002,-4004.3
4.500000000000002,-4189.1
4.700000000000002,-4374.1
4.900000000000002,-4558.9
5.100000000000002,-4742.92
5.3000000000000025,-4926.1
5.500000000000003,-5109.3
5.700000000000003,-5290.96
5.900000000000003,-5471.7
6.100000000000003,-5650.7
6.300000000000003,-5827.9
6.5000000000000036,-6001.18
6.700000000000004,-6171.4
6.900000000000004,-6336.6
7.100000000000004,-6496.9
7.300000000000004,-6652.5
7.500000000000004,-6802.4
7.700000000000005,-6949.38
7.900000000000005,-7092.3
8.100000000000005,-7231.6
8.300000000000004,-7367.4
8.500000000000004,-7499.3
8.700000000000003,-7628.2
8.900000000000002,-7753.5
9.100000000000001,-7875.24
9.3,-7993.06
9.5,-8107.5
