Voltage(V),Field(G)
-9.0,11101.3
-8.5,10863.4
-8.0,10594.5
-7.5,10273.4
-7.0,9897.2
-6.5,9474.2
-6.0,9000.9
-5.5,8468.5
-5.0,7866.7
-4.5,7168.4
-4.0,6400.7
-3.5,5618.5
-3.0,4830.6
-2.5,4037.1
-2.0,3239.2
-1.5,2437.3
-1.0,1634.67
-0.5,830.47
0.0,25.662
0.5,-779.39
1.0,-1583.86
1.5,-2386.87
2.0,-3188.6
2.5,-3986.3
3.0,-4780.1
3.5,-5568.5
4.0,-6347.8
4.5,-7106.6
5.0,-7812.7
5.5,-8428.8
6.0,-8969.7
6.5,-9451.1
7.0,-9880.6
7.5,-10262.8
8.0,-10588.7
8.5,-10860.8
9.0,-11101.3
9.5,-11322.5
